Class Decade,Date,Daytime/Nightime,Time,Class loc.,Location,Operator,Flight..,Direct/Stopover,Route,AC.Type,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Causes,Summary,Class time
1930s,01/19/1930,Nighttime,18:23,USA,"Oceanside, California",Maddux Airlines,7,Direct,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,NC9689,5-AT-046,16,14,2,16,14,2,0,Weather Conditions,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control.",
1930s,03/31/1931,Daytime,10:45,USA,"Bazaar, Kansas",Trans Continental and Western Air,599,Stopover,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,NC-999,1063,8,6,2,8,6,2,0,Weather Conditions,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed.",
1930s,08/31/1934,Nightime,22:45,USA,"Amazonia, Missouri",Rapid Air Transport,6,Stopover,Kansas City - Saint Joseph - Omaha,Stinson  SM-6000B,NC11118,5004,5,4,1,5,4,1,0,Pilot Error,The plane crashed about 11 miles from St. Joseph in heavy fog. Pilot error in taking off in dangerous weather conditions and turning too close the the ground in a fog-bound area. Inaccurate weather conditions reported to the pilot.,
1930s,05/06/1935,Nighttime,3:30,USA,"Atlanta, Missouri",Trans Continental and Western Air,6,Stopover,Los Angeles - Albuquerque - Kanasas City -  Washington,Douglas DC-2-112,NC13785,1295,14,12,2,5,3,2,0,Human Error,"The plane crashed while en route from Albuquerque to Kansas City. After encountering fog and poor visibility, the plane was diverted to Kirksville where witnesses reported the low flying aircraft made contact with the ground and crashed. Whether the plane struck the ground while the pilot was attempting to make an emergency landing or because the available fuel supply had been exhausted, or for other reasons, could not be determined. New Mexico Senator Bronson M. Cutting, 46, killed. Improper clearance of the airplane from Albuquerque by the company's ground personnel when the plane's two-way radio was not functioning properly.",
1930s,08/14/1935,Nighttime,23:45,USA,"Near Gilmer, Texas",Delta Air Lines,4,Direct,Dallas -  Atlanta,Stinson Model A,NC14599,9103,4,3,1,4,3,1,0,Mechanical Failure,Crashed 3 miles south of Gilmer. The outboard engine separated from the aircraft after a propeller blade broke off resulting in an imbalanced condition which led to loss of control of the aircraft.,
1930s,10/07/1935,Nighttime,2:19,USA,"Near Cheyenne, Wyoming",United Air Lines,4,Direct,Salt Lake City - Cheyenne,Boeing 247D,NC13317,1698,12,9,3,12,9,3,0,Pilot Error,"While flying in a normal, slightly descending path, the aircraft  first collided with the ground just a few feet  below the top of a small knoll tearing out both engines and engine nacelles. It then rebounded and continued through the air for a distance of 1,120 feet, where it came to rest.  Error on the part of the pilot in executing an abrupt maneuver with insufficient altitude for safety and failure of the pilot to maintain proper control of the aircraft during this maneuver.",
1930s,01/14/1936,Evening,19:32,USA,"Goodwin, Arkansas",American Airlines,1,Stopover, Newark - Memphis - Little Rock - Dallas - Los Angeles,Douglas DC-2-120,NC14274,1307,17,14,3,17,14,3,0,Unknow,"Flew into trees and disintegrated. The cause of the crash could not be determined.  Possible causes include, passenger interference, one fuel tank running dry, flying too low and the co-pilot alone at the controls.",
1930s,04/07/1936,Daytime,10:20,USA,"Uniontown, Pennsylvania",Trans Continental and Western Air,1,Direct,Newark - Los Angeles,Douglas DC-2-112,NC13721,1247,14,11,3,12,10,2,0,Pilot Error,"Crashed into Chestnut Ridge in fog. The poor  judgment on the part of the pilot for flying by visual ground observation methods after having descended through the clouds and overcast in mountainous terrain at a point unknown to him. Because of clouds and poor visibility, this required flying close to the ground whereas the safest method under such circumstances was to climb into or above the overcast to a safe altitude and determine the location of the plane by instruments and radio.",
1930s,08/05/1936,Nighttime,22:00,USA,"St. Louis, Missouri",Chicago Southern Airlines,4,Direct,New Orleans - Chicago,Lockheed 10B Electra,NC16022,1057,8,6,2,8,6,2,0,Unknow,"Crashed while attempting to take off from Lambert Field.  The making of a turn at an extremely low altitude, for reasons unknown, in which the wing of the airplane unintentionally contacted the ground.",
1930s,12/15/1936,Nighttime,3:14,USA,"Near Salt Lake City, Utah",Western Air Express,6,Stopover,Burbank - Las Vegas - Salt Lake City,Boeing 247D,NC13370,1957,7,4,3,7,4,3,0,Pilot Error,Crashed into Lone Peak while attempting to land at Salt Lake. Inability of the pilots to identify the south leg of the Salt Lake radio range due to a local static condition which rendered both range receivers in the airplane inoperative.,
